NOMOR PRODUK,CODE,JENIS,NAMA,SATUAN,HARGA,VENDOR,STATUS,NOTE
53,MAT-CSV-00053,ETERNA,"Kabel Power NYYHY 2x2,5 eterna serabut (50m)",Roll,593850,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
54,MAT-CSV-00054,-,Konektor las 35-50 (laki-laki),Pcs,22200,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
55,MAT-CSV-00055,-,Konektor las 35-50 (perempuan),Pcs,22200,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
56,MAT-CSV-00056,GOSAVE,Kap Las,Pcs,44400,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
57,MAT-CSV-00057,GOSAVE,Face shield + bracket,Pcs,130000,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
58,MAT-CSV-00058,TEKIRO,Kunci pas ring No 12,Pcs,25000,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
59,MAT-CSV-00059,TEKIRO,Kunci pas ring No 14,Pcs,28000,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
60,MAT-CSV-00060,TEKIRO,Kunci sock no 30,Pcs,62160,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
61,MAT-CSV-00061,NITTO,Electric tape nitto,Pcs,9435,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
62,MAT-CSV-00062,3M,Rubber tape 3m,Pcs,94350,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
63,MAT-CSV-00063,BROCO,Stop kontak 4 lubang Broco,Pcs,52725,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
64,MAT-CSV-00064,BROCO,Kepala colokan broco,Pcs,14430,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
65,MAT-CSV-00065,MAKTEC,Die grinder MT912 Maktec,Unit,875000,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
