code,jenis,name,satuan,harga,vendor
MT-2026-0152,,Semen Rajawali,SAK,46000,TB. MUTIARA INDAH
MT-2026-0153,,Besi 10,BATANG,82000,TB. MUTIARA INDAH
MT-2026-0154,,Besi 8,BATANG,52000,TB. MUTIARA INDAH
MT-2026-0155,,Triplek 8mm,LEMBAR,90000,TB. MUTIARA INDAH
MT-2026-0156,4 x 6,Kaso Kayu,BATANG,27000,TB. MUTIARA INDAH
MT-2026-0157,,Besi 13,BATANG,135000,TB. MUTIARA INDAH
MT-2026-0158,,Bodem LB10,PCS,100000,TB. MUTIARA INDAH
MT-2026-0159,,"Cutting circle kayu 4""",PCS,60000,TB. MUTIARA INDAH
MT-2026-0160,,Kapur besi,PACK,20000,TB. MUTIARA INDAH
MT-2026-0161,,Tespen,PCS,12000,TB. MUTIARA INDAH
MT-2026-0162,,Obeng,PCS,15000,TB. MUTIARA INDAH
MT-2026-0163,,S.tangan 5b,LUSIN,25000,TB. MUTIARA INDAH
MT-2026-0164,,Marker,PCS,22000,TB. MUTIARA INDAH
MT-2026-0165,"3"" JIS 10K SS 304",Flange,PCS,280000,PT. KARSA INTI SEJIWA
MT-2026-0166,"20"" JIS 5K SS 304",Flange,PCS,3350000,PT. KARSA INTI SEJIWA
MT-2026-0167,"20"" JIS 5K SS 304",Blind Flange,PCS,8350000,PT. KARSA INTI SEJIWA
MT-2026-0168,SS 304,Eye Nut,PCS,135000,PT. KARSA INTI SEJIWA
MT-2026-0169,WD,"Cutting Disc 4"" x 1.2mm WD",BOX,53600,INTI PERKAKAS GLODOK
MT-2026-0170,,AS Drat Stainless M16,BATANG,161025,DANINDO TEKNIK MANDIRI
MT-2026-0171,,"Sock drat+Nepel 1/2"" x 100 sus 304",PCS,17000,DANINDO TEKNIK MANDIRI
MT-2026-0172,Galvalum,Plat sheet Galvalume 0.3mm x 915,M2,55000,INDOMEGA ALUMUNIUM
MT-2026-0173,SS 304,"Pipa 12"" x 600 sch 20 SUS 304",PCS,2055000,CV. ARDIAN AGUNG TEKNIK
MT-2026-0174,SS 304,"Pipa 20"" x 500 sch 20 SUS 304",PCS,4150000,CV. ARDIAN AGUNG TEKNIK
MT-2026-0175,SS 304,"Blind Flange 10"" jis 10k SUS 304",PCS,2430000,CV. ARDIAN AGUNG TEKNIK
MT-2026-0176,Galvanis,Asdrat Galvanis m10 x 1000,BATANG,17500,KARYA WARGI
MT-2026-0177,Coklat 1mm,Fire blanket,M2,75000,KARYA WARGI
MT-2026-0178,,Cat vinilex P300 white,GALON,175000,KARYA WARGI
MT-2026-0179,,Kran 1/2 inch galvanis onda,PCS,71500,KARYA WARGI
MT-2026-0180,FCL,Coupling FCL - 180,UNIT,467350,ASC TEKNIK
MT-2026-0181,SS 304,Turnbuckle eye to hook ss304 m8,PCS,45675,ASC TEKNIK
MT-2026-0182,,Acrylic 8mm potong bulat diameter 130mm,PCS,14100,ASC TEKNIK
MT-2026-0183,SS 304,Wire rope sling ss304 x 4mm,M2,12950,ASC TEKNIK
MT-2026-0184,,"Flexible / Metal conduit 1/2""",M,14000,ASC TEKNIK
MT-2026-0185,,Nut Stainless ss304 m16,PCS,4889,ASC TEKNIK
MT-2026-0186,,Alat tekuk Besi/Bending besi + sock,UNIT,449200,ASC TEKNIK
MT-2026-0187,SS 304,"Pelampung Stainless (ball only, 11inch) 304",PCS,1043300,ASC TEKNIK
MT-2026-0188,Tokiwa,Mata Bor Stainless 18mm Tokiwa HSSCO,PCS,218347,DAYA TEKNIK JAKARTA
MT-2026-0189,MSA,Helm Proyek MSA Lokal SNI,PCS,58479,DAYA TEKNIK JAKARTA
MT-2026-0190,,Philips LED Downlight Multipack 13W 6500K,PACK,187985,DAYA TEKNIK JAKARTA
MT-2026-0191,WD,"Cutting disc WD 4""x1.2mm",PACK,50255,DAYA TEKNIK JAKARTA
MT-2026-0192,,Door Closer Interkey - Black,UNIT,105000,INDOMEGA ALUMUNIUM
MT-2026-0193,,Kunci Lockise Glatino (201-Black),UNIT,105000,INDOMEGA ALUMUNIUM
MT-2026-0194,,Dynabolt m10x80,PCS,1800,PANJI RIMBA TEKNIK
MT-2026-0195,,B. Galvanis 16x50 bolt & nut,PCS,4100,PANJI RIMBA TEKNIK
MT-2026-0196,,Dynabolt m10x105,PCS,2200,PANJI RIMBA TEKNIK
MT-2026-0197,,"NYAF 1x1,5mm serabut ETERNA",ROLL,150000,TOKO TERANG
MT-2026-0198,,"PIPA PVC 1/2"" AW untuk kabel dongjin",BATANG,50000,TOKO BERKAT
MT-2026-0199,,Oxygen,TABUNG,75000,IWAN BANTEN MANDIRI
MT-2026-0200,,Argon,TABUNG,250000,IWAN BANTEN MANDIRI
MT-2026-0201,,"Kabel NYY 1x1,5 (50m)",ROLL,165000,TOKO TERANG
MT-2026-0202,,"Ubolt 1/2"" kecil 3/8",PCS,3100,TOKO TERANG
MT-2026-0203,,Plat CS Tebal 16mm 400x578x150x200,PCS,762000,PASS STEEL
MT-2026-0204,,Plat CS Tebal 16mm 216x578x65x200,PCS,400000,PASS STEEL
MT-2026-0205,,Plat CS Tebal 16mm 40x210x212x45,PCS,150000,PASS STEEL
MT-2026-0206,,Plat CS Tebal 20mm 45x250,PCS,50000,PASS STEEL
